## Gene and Gene Product information for Escherichia coli K-12 substr. MG1655
## Columns:
## (1) Gene identifier assigned by RegulonDB
## (2) Gene name
## (3) Gene left end position in the genome
## (4) Gene right end position in the genome
## (5) DNA strand where the gene is coded
## (6) other gene synonyms
## (7) Other database's id related to gene
## (8) Product identifier of the gene
## (9) Product name of the gene
## (10) Other products synonyms
## (11) Other database's id related to product
1)geneId	2)geneName	3)leftEndPos	4)rightEndPos	5)strand	6)geneSynonyms	7)otherDbsGeneIds	8)productId	9)productName	10)productSynonyms	11)otherDbsProductsIds
RDBECOLIGNC00028	gene28	28000	28500	forward	gene285,EG00028	[ASKA:ECK0028+b0028+JW0028+gene28][KEIO:ECK0028+b0028+JW0028+gene28]	RDBECOLIPDC00028	protein gene28		
RDBECOLIGNC00029	gene29	29000	29500	forward	gene295,EG00029	[ASKA:ECK0029+b0029+JW0029+gene29][KEIO:ECK0029+b0029+JW0029+gene29]	RDBECOLIPDC00029	protein gene29		
RDBECOLIGNC00030	gene30	30000	30500	forward	gene305,EG00030	[ASKA:ECK0030+b0030+JW0030+gene30][KEIO:ECK0030+b0030+JW0030+gene30]	RDBECOLIPDC00030	protein gene30		
RDBECOLIGNC00031	gene31	31000	31500	forward	gene315,EG00031	[ASKA:ECK0031+b0031+JW0031+gene31][KEIO:ECK0031+b0031+JW0031+gene31]	RDBECOLIPDC00031	protein gene31		
RDBECOLIGNC00032	gene32	32000	32500	forward	gene325,EG00032	[ASKA:ECK0032+b0032+JW0032+gene32][KEIO:ECK0032+b0032+JW0032+gene32]	RDBECOLIPDC00032	protein gene32		
RDBECOLIGNC00033	gene33	33000	33500	forward	gene335,EG00033	[ASKA:ECK0033+b0033+JW0033+gene33][KEIO:ECK0033+b0033+JW0033+gene33]	RDBECOLIPDC00033	protein gene33		
RDBECOLIGNC00034	gene34	34000	34500	forward	gene345,EG00034	[ASKA:ECK0034+b0034+JW0034+gene34][KEIO:ECK0034+b0034+JW0034+gene34]	RDBECOLIPDC00034	protein gene34		
RDBECOLIGNC00035	gene35	35000	35500	forward	gene355,EG00035	[ASKA:ECK0035+b0035+JW0035+gene35][KEIO:ECK0035+b0035+JW0035+gene35]	RDBECOLIPDC00035	protein gene35		
RDBECOLIGNC00036	gene36	36000	36500	forward	gene365,EG00036	[ASKA:ECK0036+b0036+JW0036+gene36][KEIO:ECK0036+b0036+JW0036+gene36]	RDBECOLIPDC00036	protein gene36		
RDBECOLIGNC00037	gene37	37000	37500	forward	gene375,EG00037	[ASKA:ECK0037+b0037+JW0037+gene37][KEIO:ECK0037+b0037+JW0037+gene37]	RDBECOLIPDC00037	protein gene37		
RDBECOLIGNC00038	gene38	38000	38500	forward	gene385,EG00038	[ASKA:ECK0038+b0038+JW0038+gene38][KEIO:ECK0038+b0038+JW0038+gene38]	RDBECOLIPDC00038	protein gene38		
RDBECOLIGNC00039	gene39	39000	39500	forward	gene395,EG00039	[ASKA:ECK0039+b0039+JW0039+gene39][KEIO:ECK0039+b0039+JW0039+gene39]	RDBECOLIPDC00039	protein gene39		
RDBECOLIGNC00040	gene40	40000	40500	forward	gene405,EG00040	[ASKA:ECK0040+b0040+JW0040+gene40][KEIO:ECK0040+b0040+JW0040+gene40]	RDBECOLIPDC00040	protein gene40		
RDBECOLIGNC00041	gene41	41000	41500	forward	gene415,EG00041	[ASKA:ECK0041+b0041+JW0041+gene41][KEIO:ECK0041+b0041+JW0041+gene41]	RDBECOLIPDC00041	protein gene41		
RDBECOLIGNC00042	gene42	42000	42500	forward	gene425,EG00042	[ASKA:ECK0042+b0042+JW0042+gene42][KEIO:ECK0042+b0042+JW0042+gene42]	RDBECOLIPDC00042	protein gene42		
RDBECOLIGNC00043	gene43	43000	43500	forward	gene435,EG00043	[ASKA:ECK0043+b0043+JW0043+gene43][KEIO:ECK0043+b0043+JW0043+gene43]	RDBECOLIPDC00043	protein gene43		
RDBECOLIGNC00044	gene44	44000	44500	forward	gene445,EG00044	[ASKA:ECK0044+b0044+JW0044+gene44][KEIO:ECK0044+b0044+JW0044+gene44]	RDBECOLIPDC00044	protein gene44		
RDBECOLIGNC00045	gene45	45000	45500	forward	gene455,EG00045	[ASKA:ECK0045+b0045+JW0045+gene45][KEIO:ECK0045+b0045+JW0045+gene45]	RDBECOLIPDC00045	protein gene45		
RDBECOLIGNC00046	gene46	46000	46500	forward	gene465,EG00046	[ASKA:ECK0046+b0046+JW0046+gene46][KEIO:ECK0046+b0046+JW0046+gene46]	RDBECOLIPDC00046	protein gene46		
RDBECOLIGNC00047	gene47	47000	47500	forward	gene475,EG00047	[ASKA:ECK0047+b0047+JW0047+gene47][KEIO:ECK0047+b0047+JW0047+gene47]	RDBECOLIPDC00047	protein gene47		
RDBECOLIGNC00048	gene48	48000	48500	forward	gene485,EG00048	[ASKA:ECK0048+b0048+JW0048+gene48][KEIO:ECK0048+b0048+JW0048+gene48]	RDBECOLIPDC00048	protein gene48		
RDBECOLIGNC00049	gene49	49000	49500	forward	gene495,EG00049	[ASKA:ECK0049+b0049+JW0049+gene49][KEIO:ECK0049+b0049+JW0049+gene49]	RDBECOLIPDC00049	protein gene49		
RDBECOLIGNC00050	gene50	50000	50500	forward	gene505,EG00050	[ASKA:ECK0050+b0050+JW0050+gene50][KEIO:ECK0050+b0050+JW0050+gene50]	RDBECOLIPDC00050	protein gene50		
RDBECOLIGNC00051	gene51	51000	51500	forward	gene515,EG00051	[ASKA:ECK0051+b0051+JW0051+gene51][KEIO:ECK0051+b0051+JW0051+gene51]	RDBECOLIPDC00051	protein gene51		
RDBECOLIGNC00052	gene52	52000	52500	forward	gene525,EG00052	[ASKA:ECK0052+b0052+JW0052+gene52][KEIO:ECK0052+b0052+JW0052+gene52]	RDBECOLIPDC00052	protein gene52		
RDBECOLIGNC00053	gene53	53000	53500	forward	gene535,EG00053	[ASKA:ECK0053+b0053+JW0053+gene53][KEIO:ECK0053+b0053+JW0053+gene53]	RDBECOLIPDC00053	protein gene53		
RDBECOLIGNC00054	gene54	54000	54500	forward	gene545,EG00054	[ASKA:ECK0054+b0054+JW0054+gene54][KEIO:ECK0054+b0054+JW0054+gene54]	RDBECOLIPDC00054	protein gene54		
RDBECOLIGNC00055	gene55	55000	55500	forward	gene555,EG00055	[ASKA:ECK0055+b0055+JW0055+gene55][KEIO:ECK0055+b0055+JW0055+gene55]	RDBECOLIPDC00055	protein gene55		
RDBECOLIGNC00056	gene56	56000	56500	forward	gene565,EG00056	[ASKA:ECK0056+b0056+JW0056+gene56][KEIO:ECK0056+b0056+JW0056+gene56]	RDBECOLIPDC00056	protein gene56		
RDBECOLIGNC00057	gene57	57000	57500	forward	gene575,EG00057	[ASKA:ECK0057+b0057+JW0057+gene57][KEIO:ECK0057+b0057+JW0057+gene57]	RDBECOLIPDC00057	protein gene57		
RDBECOLIGNC00058	gene58	58000	58500	forward	gene585,EG00058	[ASKA:ECK0058+b0058+JW0058+gene58][KEIO:ECK0058+b0058+JW0058+gene58]	RDBECOLIPDC00058	protein gene58		
RDBECOLIGNC00059	gene59	59000	59500	forward	gene595,EG00059	[ASKA:ECK0059+b0059+JW0059+gene59][KEIO:ECK0059+b0059+JW0059+gene59]	RDBECOLIPDC00059	protein gene59		
RDBECOLIGNC00060	gene60	60000	60500	forward	gene605,EG00060	[ASKA:ECK0060+b0060+JW0060+gene60][KEIO:ECK0060+b0060+JW0060+gene60]	RDBECOLIPDC00060	protein gene60		
RDBECOLIGNC00061	gene61	61000	61500	forward	gene615,EG00061	[ASKA:ECK0061+b0061+JW0061+gene61][KEIO:ECK0061+b0061+JW0061+gene61]	RDBECOLIPDC00061	protein gene61		
RDBECOLIGNC00062	gene62	62000	62500	forward	gene625,EG00062	[ASKA:ECK0062+b0062+JW0062+gene62][KEIO:ECK0062+b0062+JW0062+gene62]	RDBECOLIPDC00062	protein gene62		
RDBECOLIGNC00063	gene63	63000	63500	forward	gene635,EG00063	[ASKA:ECK0063+b0063+JW0063+gene63][KEIO:ECK0063+b0063+JW0063+gene63]	RDBECOLIPDC00063	protein gene63		
RDBECOLIGNC00064	gene64	64000	64500	forward	gene645,EG00064	[ASKA:ECK0064+b0064+JW0064+gene64][KEIO:ECK0064+b0064+JW0064+gene64]	RDBECOLIPDC00064	protein gene64		
RDBECOLIGNC00065	gene65	65000	65500	forward	gene655,EG00065	[ASKA:ECK0065+b0065+JW0065+gene65][KEIO:ECK0065+b0065+JW0065+gene65]	RDBECOLIPDC00065	protein gene65		
RDBECOLIGNC00066	gene66	66000	66500	forward	gene665,EG00066	[ASKA:ECK0066+b0066+JW0066+gene66][KEIO:ECK0066+b0066+JW0066+gene66]	RDBECOLIPDC00066	protein gene66		
RDBECOLIGNC00067	gene67	67000	67500	forward	gene675,EG00067	[ASKA:ECK0067+b0067+JW0067+gene67][KEIO:ECK0067+b0067+JW0067+gene67]	RDBECOLIPDC00067	protein gene67		
RDBECOLIGNC00068	gene68	68000	68500	forward	gene685,EG00068	[ASKA:ECK0068+b0068+JW0068+gene68][KEIO:ECK0068+b0068+JW0068+gene68]	RDBECOLIPDC00068	protein gene68		
RDBECOLIGNC00069	gene69	69000	69500	forward	gene695,EG00069	[ASKA:ECK0069+b0069+JW0069+gene69][KEIO:ECK0069+b0069+JW0069+gene69]	RDBECOLIPDC00069	protein gene69		
RDBECOLIGNC00070	gene70	70000	70500	forward	gene705,EG00070	[ASKA:ECK0070+b0070+JW0070+gene70][KEIO:ECK0070+b0070+JW0070+gene70]	RDBECOLIPDC00070	protein gene70		
RDBECOLIGNC00071	gene71	71000	71500	forward	gene715,EG00071	[ASKA:ECK0071+b0071+JW0071+gene71][KEIO:ECK0071+b0071+JW0071+gene71]	RDBECOLIPDC00071	protein gene71		
RDBECOLIGNC00072	gene72	72000	72500	forward	gene725,EG00072	[ASKA:ECK0072+b0072+JW0072+gene72][KEIO:ECK0072+b0072+JW0072+gene72]	RDBECOLIPDC00072	protein gene72		
RDBECOLIGNC00073	gene73	73000	73500	forward	gene735,EG00073	[ASKA:ECK0073+b0073+JW0073+gene73][KEIO:ECK0073+b0073+JW0073+gene73]	RDBECOLIPDC00073	protein gene73		
RDBECOLIGNC00074	gene74	74000	74500	forward	gene745,EG00074	[ASKA:ECK0074+b0074+JW0074+gene74][KEIO:ECK0074+b0074+JW0074+gene74]	RDBECOLIPDC00074	protein gene74		
RDBECOLIGNC00075	gene75	75000	75500	forward	gene755,EG00075	[ASKA:ECK0075+b0075+JW0075+gene75][KEIO:ECK0075+b0075+JW0075+gene75]	RDBECOLIPDC00075	protein gene75		
RDBECOLIGNC00076	gene76	76000	76500	forward	gene765,EG00076	[ASKA:ECK0076+b0076+JW0076+gene76][KEIO:ECK0076+b0076+JW0076+gene76]	RDBECOLIPDC00076	protein gene76		
RDBECOLIGNC00077	gene77	77000	77500	forward	gene775,EG00077	[ASKA:ECK0077+b0077+JW0077+gene77][KEIO:ECK0077+b0077+JW0077+gene77]	RDBECOLIPDC00077	protein gene77		
RDBECOLIGNC00078	gene78	78000	78500	forward	gene785,EG00078	[ASKA:ECK0078+b0078+JW0078+gene78][KEIO:ECK0078+b0078+JW0078+gene78]	RDBECOLIPDC00078	protein gene78		
RDBECOLIGNC00079	gene79	79000	79500	forward	gene795,EG00079	[ASKA:ECK0079+b0079+JW0079+gene79][KEIO:ECK0079+b0079+JW0079+gene79]	RDBECOLIPDC00079	protein gene79		
RDBECOLIGNC00080	gene80	80000	80500	forward	gene805,EG00080	[ASKA:ECK0080+b0080+JW0080+gene80][KEIO:ECK0080+b0080+JW0080+gene80]	RDBECOLIPDC00080	protein gene80		
RDBECOLIGNC00081	gene81	81000	81500	forward	gene815,EG00081	[ASKA:ECK0081+b0081+JW0081+gene81][KEIO:ECK0081+b0081+JW0081+gene81]	RDBECOLIPDC00081	protein gene81		
RDBECOLIGNC00082	gene82	82000	82500	forward	gene825,EG00082	[ASKA:ECK0082+b0082+JW0082+gene82][KEIO:ECK0082+b0082+JW0082+gene82]	RDBECOLIPDC00082	protein gene82		
RDBECOLIGNC00083	gene83	83000	83500	forward	gene835,EG00083	[ASKA:ECK0083+b0083+JW0083+gene83][KEIO:ECK0083+b0083+JW0083+gene83]	RDBECOLIPDC00083	protein gene83		
RDBECOLIGNC00084	gene84	84000	84500	forward	gene845,EG00084	[ASKA:ECK0084+b0084+JW0084+gene84][KEIO:ECK0084+b0084+JW0084+gene84]	RDBECOLIPDC00084	protein gene84		
RDBECOLIGNC00085	gene85	85000	85500	forward	gene855,EG00085	[ASKA:ECK0085+b0085+JW0085+gene85][KEIO:ECK0085+b0085+JW0085+gene85]	RDBECOLIPDC00085	protein gene85		
RDBECOLIGNC00086	gene86	86000	86500	forward	gene865,EG00086	[ASKA:ECK0086+b0086+JW0086+gene86][KEIO:ECK0086+b0086+JW0086+gene86]	RDBECOLIPDC00086	protein gene86		
RDBECOLIGNC00087	gene87	87000	87500	forward	gene875,EG00087	[ASKA:ECK0087+b0087+JW0087+gene87][KEIO:ECK0087+b0087+JW0087+gene87]	RDBECOLIPDC00087	protein gene87		
RDBECOLIGNC00088	gene88	88000	88500	forward	gene885,EG00088	[ASKA:ECK0088+b0088+JW0088+gene88][KEIO:ECK0088+b0088+JW0088+gene88]	RDBECOLIPDC00088	protein gene88		
RDBECOLIGNC00089	gene89	89000	89500	forward	gene895,EG00089	[ASKA:ECK0089+b0089+JW0089+gene89][KEIO:ECK0089+b0089+JW0089+gene89]	RDBECOLIPDC00089	protein gene89		
RDBECOLIGNC00090	gene90	90000	90500	forward	gene905,EG00090	[ASKA:ECK0090+b0090+JW0090+gene90][KEIO:ECK0090+b0090+JW0090+gene90]	RDBECOLIPDC00090	protein gene90		
RDBECOLIGNC00091	gene91	91000	91500	forward	gene915,EG00091	[ASKA:ECK0091+b0091+JW0091+gene91][KEIO:ECK0091+b0091+JW0091+gene91]	RDBECOLIPDC00091	protein gene91		
RDBECOLIGNC00092	gene92	92000	92500	forward	gene925,EG00092	[ASKA:ECK0092+b0092+JW0092+gene92][KEIO:ECK0092+b0092+JW0092+gene92]	RDBECOLIPDC00092	protein gene92		
RDBECOLIGNC00093	gene93	93000	93500	forward	gene935,EG00093	[ASKA:ECK0093+b0093+JW0093+gene93][KEIO:ECK0093+b0093+JW0093+gene93]	RDBECOLIPDC00093	protein gene93		
RDBECOLIGNC00094	gene94	94000	94500	forward	gene945,EG00094	[ASKA:ECK0094+b0094+JW0094+gene94][KEIO:ECK0094+b0094+JW0094+gene94]	RDBECOLIPDC00094	protein gene94		
RDBECOLIGNC00095	gene95	95000	95500	forward	gene955,EG00095	[ASKA:ECK0095+b0095+JW0095+gene95][KEIO:ECK0095+b0095+JW0095+gene95]	RDBECOLIPDC00095	protein gene95		
RDBECOLIGNC00096	gene96	96000	96500	forward	gene965,EG00096	[ASKA:ECK0096+b0096+JW0096+gene96][KEIO:ECK0096+b0096+JW0096+gene96]	RDBECOLIPDC00096	protein gene96		
RDBECOLIGNC00097	gene97	97000	97500	forward	gene975,EG00097	[ASKA:ECK0097+b0097+JW0097+gene97][KEIO:ECK0097+b0097+JW0097+gene97]	RDBECOLIPDC00097	protein gene97		
RDBECOLIGNC00098	gene98	98000	98500	forward	gene985,EG00098	[ASKA:ECK0098+b0098+JW0098+gene98][KEIO:ECK0098+b0098+JW0098+gene98]	RDBECOLIPDC00098	protein gene98		
RDBECOLIGNC00099	gene99	99000	99500	forward	gene995,EG00099	[ASKA:ECK0099+b0099+JW0099+gene99][KEIO:ECK0099+b0099+JW0099+gene99]	RDBECOLIPDC00099	protein gene99		
RDBECOLIGNC00100	gene100	100000	100500	forward	gene1005,EG00100	[ASKA:ECK0100+b0100+JW0100+gene100][KEIO:ECK0100+b0100+JW0100+gene100]	RDBECOLIPDC00100	protein gene100		
